catagory,date_time,duration,distance_in_km,pickup_by_postcode,dropoff_by_postcode,fare_euro,service_fee_euro,tax,earnings_euro,third_parties,tip,promotion,hour,day_name
UberX,2023-12-02 20:07:00,0:19:11,5.94,1074,1053,15.42,3.86,0.81,13.75,0.0,0.0,3.0,20,Saturday
UberX,2023-12-02 20:34:00,0:09:01,2.77,1052,1017,10.32,2.58,0.54,10.2,0.0,0.0,3.0,20,Saturday
UberX,2023-12-02 20:51:00,0:18:35,12.27,1017,1183,32.92,8.23,1.73,25.96,0.0,0.0,3.0,20,Saturday
Saver,2023-12-02 21:17:00,0:15:54,11.46,1181,1098,20.19,3.84,0.81,15.54,0.0,0.0,0.0,21,Saturday
UberX,2023-12-02 21:41:00,0:00:00,0.0,1098,1098,9.5,2.38,0.5,6.62,0.0,0.0,0.0,21,Saturday
Saver,2023-12-02 21:57:00,0:18:05,8.33,1098,1051,18.42,3.5,0.74,17.18,0.0,0.0,3.0,21,Saturday
UberX,2023-12-02 22:18:00,0:06:33,2.32,1051,1016,9.74,2.44,0.51,6.79,0.0,0.0,0.0,22,Saturday
UberX,2023-12-02 22:25:00,0:10:20,4.09,1015,1071,13.95,3.49,0.73,9.73,0.0,0.0,0.0,22,Saturday
Priority,2023-12-02 22:58:00,0:09:07,3.26,1071,1073,15.28,3.82,0.8,15.66,0.0,5.0,0.0,22,Saturday
UberX,2023-12-02 23:10:00,0:08:56,3.58,1018,1078,12.48,3.12,0.66,8.7,0.0,0.0,0.0,23,Saturday
UberX,2023-12-02 23:28:00,0:09:12,3.66,1078,1091,11.67,2.92,0.61,8.14,0.0,0.0,0.0,23,Saturday
UberX,2023-12-02 23:36:00,0:09:26,3.99,1018,1017,12.5,3.13,0.66,8.71,0.0,0.0,0.0,23,Saturday
UberX,2023-12-02 23:51:00,0:09:56,3.99,1016,1055,13.15,3.29,0.69,9.17,0.0,0.0,0.0,23,Saturday
UberX,2023-12-03 00:25:00,0:13:24,6.02,1053,1094,16.87,4.22,0.89,16.76,0.0,0.0,5.0,0,Sunday
UberX,2023-12-03 00:36:00,0:13:40,6.7,1094,1112,16.04,4.01,0.84,16.19,0.0,0.0,5.0,0,Sunday
UberX,2023-12-03 00:44:00,0:11:46,8.18,1099,1018,32.47,8.12,1.71,29.64,1.71,2.0,5.0,0,Sunday
UberX,2023-12-03 01:08:00,0:13:54,5.21,1018,1056,26.72,6.68,1.4,23.64,0.0,0.0,5.0,1,Sunday
UberX,2023-12-03 01:29:00,0:20:51,9.74,1056,1098,24.12,6.03,1.27,21.82,0.0,0.0,5.0,1,Sunday
UberX,2023-12-03 02:06:00,0:14:39,13.56,1098,1181,26.99,6.75,1.42,23.82,0.0,0.0,41.0,2,Sunday
Saver,2023-12-04 14:13:00,0:18:11,11.73,1186,1065,20.22,3.84,0.81,15.57,0.0,0.0,0.0,14,Monday
UberX,2023-12-04 14:34:00,0:06:44,2.62,1058,1066,9.13,2.28,0.48,6.37,0.0,0.0,0.0,14,Monday
UberX,2023-12-04 15:10:00,0:05:58,2.36,1066,1062,9.0,2.25,0.47,6.28,0.0,0.0,0.0,15,Monday
UberX,2023-12-04 15:28:00,0:14:00,3.94,1056,1076,13.33,3.33,0.7,9.3,0.0,0.0,0.0,15,Monday
UberX,2023-12-04 16:07:00,0:15:03,4.58,1077,1016,14.32,3.58,0.75,9.99,0.0,0.0,0.0,16,Monday
UberX,2023-12-04 16:29:00,0:10:08,2.5,1016,1074,9.92,2.48,0.52,6.92,0.0,0.0,0.0,16,Monday
UberX,2023-12-04 16:46:00,0:13:17,4.2,1097,1054,12.99,3.25,0.68,9.06,0.0,0.0,0.0,16,Monday
UberX,2023-12-04 17:14:00,0:08:55,2.44,1054,1017,9.12,2.28,0.48,11.36,0.0,0.0,5.0,17,Monday
UberX,2023-12-04 17:28:00,0:15:20,4.97,1017,1077,14.49,3.62,0.76,15.11,0.0,0.0,5.0,17,Monday
UberX,2023-12-04 17:41:00,0:14:56,3.1,1076,1054,12.55,3.14,0.66,13.75,0.0,0.0,5.0,17,Monday
UberX,2023-12-04 18:07:00,0:12:36,4.36,1053,1013,12.3,3.08,0.65,13.57,0.0,0.0,5.0,18,Monday
UberX,2023-12-04 18:18:00,0:18:54,5.57,1013,1017,14.48,3.62,0.76,15.1,0.0,0.0,5.0,18,Monday
UberX,2023-12-04 18:44:00,0:14:41,4.92,1017,1076,14.06,3.52,0.74,17.8,0.0,3.0,5.0,18,Monday
UberX,2023-12-05 08:06:00,0:21:06,9.54,1187,1082,21.13,5.28,1.11,14.74,0.0,0.0,0.0,8,Tuesday
UberX,2023-12-05 08:44:00,0:12:50,3.14,1076,1071,9.72,2.43,0.51,11.78,0.0,0.0,5.0,8,Tuesday
UberX,2023-12-05 09:07:00,0:20:11,8.2,1054,1183,19.43,4.86,1.02,13.55,0.0,0.0,0.0,9,Tuesday
UberX,2023-12-05 09:49:00,0:08:01,3.41,1082,1076,10.04,2.51,0.53,7.0,0.0,0.0,0.0,9,Tuesday
Saver,2023-12-05 10:42:00,0:18:33,4.96,1077,1011,11.52,2.19,0.46,8.87,0.0,0.0,0.0,10,Tuesday
UberX,2023-12-05 11:11:00,0:10:38,2.98,1018,1071,12.22,3.06,0.64,8.52,0.0,0.0,0.0,11,Tuesday
UberX,2023-12-05 11:24:00,0:16:02,4.36,1072,1012,16.78,4.2,0.88,13.7,0.0,2.0,0.0,11,Tuesday
